x,y,title,User,Category,Description,Installations,Score,image
1.8157728,7.9114738,Kids Nursery Rhymes - Baby TV,Children,General play,"Super convenient nursery rhyme app with offline play mode for kids!
This is a professional children's nursery rhymes app, which is easy to operate and has many baby videos. Your child can enjoy popular kids song videos and baby music and gain happin...","500,000",4.47,https://play-lh.googleusercontent.com/aph3eHq0Z9x_yGYoTZ4lBTz3jKFMicAFzZ_hTfyNl6SFOcVzhdw159VTzEiEJZjXQQ
4.3090944,11.654922,Preschool ABC Numbers Letters,Children,Learning play,"A variety of educational and fun puzzle style games that teach young children the alphabet, counting, math and simple words in a fun and intuitive way. The games vary in difficulty and include jigsaw puzzle, connect the dots, pairs memory builder and...","100,000",n/a,https://play-lh.googleusercontent.com/KIE-hot0_gAKieCXbwANuDgVlf_gSXaYBW0EK7woz3jiKnQjppDkt1BYZRbIUCKcLA
5.834072,10.770487,ABC Magnetic Alphabet for Kids,Children,Literacy - English / ABCs,"Play with your kids and teach them to write with the Magnetic Alphabet!
It's the tablet edition of the old fashioned magnetic board suitable for kids of all ages!
An infinite source of fun and a great way to stimulate their imagination and creativi...","100,000",3.13,https://play-lh.googleusercontent.com/E99q4v-rwIfvqB5_PM1MIX7r0MSlzpyIQYxD0t-cqkyfcY6ioN2yOqI_zSd9JR9VEMg
2.025844,10.254678,Little Sea Wolf,Children,Learning play,"The floating house of Captain Little Sea Wolf is the new amazing app for children up to 6 years old. 

Your kids will have fun with activities and mini games designed for them and with different difficulty levels to suit the little and the older on...","10,000",n/a,https://play-lh.googleusercontent.com/TiEXwDq8mfRJziA43yoq0O6iEQJ1ZEI8qlYY6gIPaSQtHXN0lEWeYwdQ9uTH1pk9hQ
0.020828184,5.873389,Safety 1st Connected,Parents,Tracking babies' rhythms,"Safety 1st Connected – Introducing the world’s first connected nursery.

Keep your baby calm, comfortable and protected – and control it all with one easy-to-use app.

You can learn more and shop for our suite of connected nursery products at htt...","1,000",n/a,https://play-lh.googleusercontent.com/XD1s7ojQpMGtuuKNsOu01OGh7szPSyi9DIyNBYUJ61OcA6Tw8htxlSAFX-w_7WfdIrk
1.0243734,9.951183,Sago Mini Space Blocks Builder,Children,General play,"Try before you buy!* Play Space Blocks Builder free 6 times, no strings attached.

Strap on your space boots and prepare for an intergalactic building block adventure! The Sago Mini pals need your help to construct a city on their newly-discovered ...","500,000",2.86,https://play-lh.googleusercontent.com/zgIaep5jcxYIVNj7sCplxS03gr8GmStCSgSoDtqBKu3GMA881tl_KG_0Vn7FuuLTrw
1.9421892,13.081407,Colors: learning game for kids,Children,Drawing and colouring,"Learn colors - coloring games for kids. In which your children learn colors and painting. Also, they do interesting tasks: memory and matching, paint sheets. Learn colors is a cool educational pastime for little boys and girls from 2 to 5 years old....","5,000,000",3.55,https://play-lh.googleusercontent.com/2cRv1efeltVvxogilyNQ-CiuJBm3MDT8y3sxg4FIgWY0KbNtjS0cLFVA0qr-D2u5wIk
1.3022298,13.347103,Kids Coloring Book,Children,Drawing and colouring,"Kids coloring book is a free colouring book for kids. Coloring game for kids is fun learning, kids learn alphabets, animals, fruits, flowers, vegetables, shapes, vehicles etc. Our painting Game for kids is loaded with 190+ coloring pages that can kee...","1,000,000",4.14,https://play-lh.googleusercontent.com/aV1XW5ZDmcOqidwm3jIiK2hADMKJeQ52DGm21nf_Uw-kbeirtYs79EGjoIC_h8yX9Ec
5.0823584,8.23617,Learn German Vocabulary - Kids,Children,Literacy - non-English,"Welcome to ""Chick - Learn German"", a learning app for kids , beginners and starters from 2 to 8 years of age, through which they will learn german in a fun, playful way.

Download the app and enjoy its content!

Topics
★ Alphabet 
★ Numbers
★ ...","100,000",4.55,https://play-lh.googleusercontent.com/S7wDdCKsJCVkTeaelW8y1aDkdMdfnlCDOMlJplLbGf42Jw4_fLhul58kBJtGnSymAwE
5.522509,10.745674,ABC Alphabet Game for kids,Children,Literacy - English / ABCs,"ABC Alphabet Game For Kids is the best educational game for toddlers, kindergartners, and preschoolers to learn uppercase and lowercase alphabets from A to Z. 

Educational activities for toddlers and kids to learn the alphabet and English pronunci...","10,000",n/a,https://play-lh.googleusercontent.com/wjoz8EcnWIqFMOBPQIea0q5S3A6srXSXwt2kspt2va_yHkTEGBf7Ph7-w3cwcQy2mdE
