x,y,title,User,Category,Description,Installations,Score
1.6140474,9.823289,Pinkfong Baby Shark,Children,General play,"Baby Shark, the most-viewed video on YouTube, hit 10 billion views!
 
Listen to the kids' most popular dance song, ""Baby Shark,"" play fun card & puzzle games, enjoy coloring activities, and learn animal names!

Features:

1. Watch videos offlin...","10,000,000",3.72
4.952792,8.397149,Holy Owly English for children,Children,Literacy - English / ABCs,"Introduce your child to English from a very early age with the Holy Owly application. 
Holy Owly is the ideal application to teach children a foreign language while having fun.
The application will allow your child to accompany him/her throughout h...","100,000",n/a
0.82443285,11.558219,Coloring & Learn Animals,Children,General play,"Fun FREE game that develops and stimulates the creativity of kids and girls of all ages through different activities:

★ Coloring and Paint: Color hundreds of pages the same way you would on paper.
★ Learn to Draw: learning to draw is easy with th...","5,000,000",4.29
2.7079186,11.67163,"Toddler Baby games for 2, 3, 4 year olds",Children,Learning play,"15 educational games for kids and toddlers from 2 to 5 years old. This game for early development, made with knowledge of child education experts, includes sorting games and classifying objects by color, size and shape. Game is designed for preschool...","100,000",n/a
-0.98747313,7.734203,Baby Night Light: Instant Sleep Aid & White Noises,Parents,Helping babies to sleep,"Baby Night Light is an app that lights up in the dark and gives off soft and comforting light until your kids is deeply asleep. 

With our little animals, the fear of the dark disappears and your child falls asleep reassured and in good company.
...","1,000,000",4.11
1.7067113,9.750043,Baby Shark: Wash Your Hands,Children,General play,"Washing your hands is so much FUN with Baby Shark!

Watch videos and play games with Baby Shark and learn the importance of good personal hygiene!
Follow Baby Shark and learn how to wash your hands and brush your teeth properly. 
Remember to keep...","500,000",n/a
0.72274566,9.31696,Sago Mini Super Juice Maker,Children,General play,"Try before you buy!* Play Super Juice Maker free 6 times, no strings attached.

Attention, junior trendsetters! Super Juice Café is now open for business. 

Get in line for the wackiest juice bar this side of the Milky Way. Head into outer space,...","500,000",3.48
3.5853481,8.164259,1000+ English Stories Offline,Children,Literacy - English / Reading and Stories,"This app speaks to us daily with good stories allowing us to share and enrich the world with a collaborative experience.

The best short stories should haunt you for days and weeks. this app contain various stories categories like humor, comedy, an...","1,000,000",4.57
-0.3381913,4.529295,Baby Tracker - Newborn Tracker,Parents,Tracking babies' rhythms,"A Must-Have for New Parents!

Baby Tracker is designed to be the easiest breastfeeding app and baby tracker for feedings, sleep, and diaper changes. You can quickly see the last feeding time and what side was used.

IMPORTANT:
• No login require...","10,000",n/a
4.664282,8.13301,English for Kids Learning game,Children,Literacy - English / ABCs,"English for Kids is an educational application for learning vocabulary, grammar, writing, and pronunciation. Fun activities and play encourage easy and fast language learning for toddlers, preschoolers and schoolchildren.

You can study for free on...","1,000,000",4.36
1.2116622,3.6126325,Pregnancy Tracker,Parents,Pregnancy tracking,"Experience the Connection of two lives in one soul with the Pregnancyfy App – Track your due date week by week. Pregnancyfy is the world’s most-trusted pregnancy and parenting brand, helps you prepare for parenthood, and guides you through pregnancy ...","100,000",4.78
2.006005,10.791072,EduKid: Educational Baby Games,Children,Learning play,"Educational learning games for toddlers 
Learning is fun with kids' educational games which will teach your child in a playful way with colorful scenarios. Interactive learning games are specially developed for your child's early learning.

Learn ...","50,000",5.0
4.87104,8.361564,Studycat: Learn German for Kids,Children,Literacy - non-English,"Learning German is fun with Studycat!
Our educational language learning games will entertain your kids as they learn German.

• Certified by the kidSAFE Seal Program - our app is built with your child’s privacy in mind!
• Educational Expertise - ...","50,000",5.0
5.6550655,10.964533,Kids Learn to Write Letters,Children,Literacy - English / ABCs,This app is a complete learning system for young children that helps to teach them to draw the letters of the alphabet and the numbers. It covers both uppercase and lowercase letters and the numerical digits and then progresses on to writing complete...,"10,000",n/a
-0.85038674,10.708428,Jurassic Dig - Games for kids,Children,General play,"Kids, get ready to enjoy this grand journey as you trek high and low on a grand adventure. Choose your vehicle then set out on a quest. Earning fuel along the way travel through several scenes and hazards, using super tools to achieve your goal. Even...","1,000,000",4.09
-1.3906463,8.020145,Baby Lullabies Sleep Music,Parents,Helping babies to sleep,"Baby Lullabies Sleep Music App is a free offline application which helps your baby to fall asleep faster.

The app contains the most beautiful and popular lullabies - nursery rhymes selection:
Brahms' Lullaby, Twinkle Twinkle Little Star, Rock a b...","100,000",4.82
2.707568,9.668545,Baby Games for 1+ Toddlers,Children,Learning play,"15 Ads Free learning games for kids under 5!
Educational activities in the games are planned and tested by experts.

Free toddler games in the app, provide great learning and entertainment experience for preschool children, both baby boys and girl...","1,000,000",4.69
2.2585425,8.745257,Toontastic 3D,Children,General play,"3… 2… 1… ACTION! With Toontastic 3D you can draw, animate, and narrate your own cartoons. It’s as easy as play. Just move your characters around onscreen, tell your story, and Toontastic records your voice and animations and stores it on your device ...","1,000,000",4.47
3.0067055,10.216238,"Baby Games: 2+ kids, toddlers",Children,Learning play,"Learning games for 2 and 3 year olds. 
Keep your toddlers occupied with various free educational baby games. 
Bebi Family games for toddlers help them to learn and improve skills while having a great fun too. 

Toddler Games!
Play and learn:
	►...","1,000,000",4.69
-1.6636273,7.2965093,"Baby sleep sounds machine, aid",Parents,Helping babies to sleep,"Is your baby fussy and won't fall asleep? No problem! A white noise, baby sleep sounds or lullabies from our app will help your baby fall asleep. The soothing sleep sounds will help your baby to relax and fall asleep fast. 

White noise can distrac...","10,000",4.2
0.05900288,10.05748,Kids Logic Memory Puzzles,Children,Learning play,"A collection of educational and fun logic puzzles and memory training games for young lovers of cars, trucks and engines. The app teaches young children the alphabet, counting, memory and logic skills within the theme of vehicles and transportation i...","100,000",n/a
2.4688075,10.312676,Baby educational games,Children,Learning play,"Best educational app for little children. 10 games in one:
- Distinguish between different shapes using fun wooden pieces.
- Learn professions and match the objects that relate to them.
- Learn to recognize different animals.
- Solve puzzles of i...","500,000",2.71
2.6203108,9.3510475,Hopster: Pre-school Kids Learning Games & Safe TV,Children,General play,"With the award-winning Hopster, time home from school doesn’t have to mean the learning stops.

We can help keep your kids busy with lots of fun, creative & educational content - and you can relax knowing they’re continuing to learn in a safe child...","500,000",3.69
1.0082266,4.475313,WomanLog Baby Pro,Parents,Tracking babies' rhythms,"WomanLog Baby (Baby) is a calendar of child development for parents.

User interface languages:
English, Deutsch, Français, Italiano, Español, Português, Dansk, Nederlands, Svenska, Русский, 简体中文, 繁體中文

Key features:
Child Development Calendar...","5,000",n/a
